TP,Block,Corpus,List type,List number,Talker,Masker,Masker level,SNR,Condition
1514,10,DAST,F1A,9,M1,SSN_F1,-40,5,4
1514,11,DAST,F1A,10,M1,SSN_F1,-40,0,3
2004,1,DAST,F1A,11,F1,SSN_F1,-40,5,4
2004,2,DAST,F1A,1,F1,SSN_F1,-40,0,4
2004,3,DAST,F1A,2,F1,SSN_F1,-40,5,5
2004,4,DAST,F1A,3,F1,SSN_F1,-40,5,3
2004,5,DAST,F1A,4,F1,SSN_F1,-40,0,6
2004,6,DAST,F1A,5,F1,SSN_F1,-40,0,7
2004,7,DAST,F1A,6,F1,SSN_F1,-40,5,7
2004,8,DAST,F1A,7,F1,SSN_F1,-40,5,6
2004,9,DAST,F1A,8,F1,SSN_F1,-40,0,3
2004,10,DAST,F1A,9,F1,SSN_F1,-40,0,5
2004,11,DAST,F1A,10,F1,SSN_F1,-40,5,4
1917,1,DAST,F1A,11,M1,SSN_F1,-40,5,4
1917,2,DAST,F1A,1,M1,SSN_F1,-40,5,5
1917,3,DAST,F1A,2,M1,SSN_F1,-40,0,6
1917,4,DAST,F1A,3,M1,SSN_F1,-40,0,4
1917,5,DAST,F1A,4,M1,SSN_F1,-40,5,7
1917,6,DAST,F1A,5,M1,SSN_F1,-40,5,3
1917,7,DAST,F1A,6,M1,SSN_F1,-40,0,3
1917,8,DAST,F1A,7,M1,SSN_F1,-40,0,7
1917,9,DAST,F1A,8,M1,SSN_F1,-40,5,4
1917,10,DAST,F1A,9,M1,SSN_F1,-40,5,6
1917,11,DAST,F1A,10,M1,SSN_F1,-40,0,5
1585,1,DAST,F1A,11,F1,SSN_F1,-40,5,4
1585,2,DAST,F1A,1,F1,SSN_F1,-40,0,6
1585,3,DAST,F1A,2,F1,SSN_F1,-40,5,7
1585,4,DAST,F1A,3,F1,SSN_F1,-40,5,5
1585,5,DAST,F1A,4,F1,SSN_F1,-40,0,3
1585,6,DAST,F1A,5,F1,SSN_F1,-40,0,4
1585,7,DAST,F1A,6,F1,SSN_F1,-40,5,4
1585,8,DAST,F1A,7,F1,SSN_F1,-40,5,3
1585,9,DAST,F1A,8,F1,SSN_F1,-40,0,5
1585,10,DAST,F1A,9,F1,SSN_F1,-40,0,7
1585,11,DAST,F1A,10,F1,SSN_F1,-40,5,6
1983,1,DAST,F1A,11,M1,SSN_F1,-40,5,4
1983,2,DAST,F1A,1,M1,SSN_F1,-40,5,7
1983,3,DAST,F1A,2,M1,SSN_F1,-40,0,3
1983,4,DAST,F1A,3,M1,SSN_F1,-40,0,6
1983,5,DAST,F1A,4,M1,SSN_F1,-40,5,4
1983,6,DAST,F1A,5,M1,SSN_F1,-40,5,5
1983,7,DAST,F1A,6,M1,SSN_F1,-40,0,5
1983,8,DAST,F1A,7,M1,SSN_F1,-40,0,4
1983,9,DAST,F1A,8,M1,SSN_F1,-40,5,6
1983,10,DAST,F1A,9,M1,SSN_F1,-40,5,3
1983,11,DAST,F1A,10,M1,SSN_F1,-40,0,7
1275,1,DAST,F1A,11,F1,SSN_F1,-40,5,4
1275,2,DAST,F1A,1,F1,SSN_F1,-40,0,3
1275,3,DAST,F1A,2,F1,SSN_F1,-40,5,4
1275,4,DAST,F1A,3,F1,SSN_F1,-40,5,7
1275,5,DAST,F1A,4,F1,SSN_F1,-40,0,5
1275,6,DAST,F1A,5,F1,SSN_F1,-40,0,6
1275,7,DAST,F1A,6,F1,SSN_F1,-40,5,6
1275,8,DAST,F1A,7,F1,SSN_F1,-40,5,5
1275,9,DAST,F1A,8,F1,SSN_F1,-40,0,7
1275,10,DAST,F1A,9,F1,SSN_F1,-40,0,4
1275,11,DAST,F1A,10,F1,SSN_F1,-40,5,3
1000,1,DAST,F1A,11,M1,SSN_F1,-40,5,4
1000,2,DAST,F1A,1,M1,SSN_F1,-40,5,4
1000,3,DAST,F1A,2,M1,SSN_F1,-40,0,5
1000,4,DAST,F1A,3,M1,SSN_F1,-40,0,3
1000,5,DAST,F1A,4,M1,SSN_F1,-40,5,6
1000,6,DAST,F1A,5,M1,SSN_F1,-40,5,7
1000,7,DAST,F1A,6,M1,SSN_F1,-40,0,7
1000,8,DAST,F1A,7,M1,SSN_F1,-40,0,6
1000,9,DAST,F1A,8,M1,SSN_F1,-40,5,3
1000,10,DAST,F1A,9,M1,SSN_F1,-40,5,5
1000,11,DAST,F1A,10,M1,SSN_F1,-40,0,4
1417,1,DAST,F1A,11,F1,SSN_F1,-40,5,4
1417,2,DAST,F1A,1,F1,SSN_F1,-40,0,5
1417,3,DAST,F1A,2,F1,SSN_F1,-40,5,6
1417,4,DAST,F1A,3,F1,SSN_F1,-40,5,4
1417,5,DAST,F1A,4,F1,SSN_F1,-40,0,7
1417,6,DAST,F1A,5,F1,SSN_F1,-40,0,3
1417,7,DAST,F1A,6,F1,SSN_F1,-40,5,3
1417,8,DAST,F1A,7,F1,SSN_F1,-40,5,7
1417,9,DAST,F1A,8,F1,SSN_F1,-40,0,4
1417,10,DAST,F1A,9,F1,SSN_F1,-40,0,6
1417,11,DAST,F1A,10,F1,SSN_F1,-40,5,5
99,1,DAST,F1A,11,M1,SSN_F1,-40,5,4
99,2,DAST,F1A,1,M1,SSN_F1,-40,5,6
99,3,DAST,F1A,2,M1,SSN_F1,-40,0,7
99,4,DAST,F1A,3,M1,SSN_F1,-40,0,5
99,5,DAST,F1A,4,M1,SSN_F1,-40,5,3
99,6,DAST,F1A,5,M1,SSN_F1,-40,5,4
99,7,DAST,F1A,6,M1,SSN_F1,-40,0,4
99,8,DAST,F1A,7,M1,SSN_F1,-40,0,3
99,9,DAST,F1A,8,M1,SSN_F1,-40,5,5
99,10,DAST,F1A,9,M1,SSN_F1,-40,5,7
99,11,DAST,F1A,10,M1,SSN_F1,-40,0,6
